Id,Predicted
1,288
2,1679
3,1491
4,1679
5,8297
6,1679
7,7247
8,1679
9,1679
10,1041
11,640
12,1679
13,1071
14,2968
15,1679
16,1679
17,1679
18,1679
19,1679
20,1679
21,4936
22,8905
23,1679
24,8704
25,1679
26,1679
27,1679
28,8739
29,579
30,4893
31,1679
32,1679
33,1679
34,2946
35,1679
36,3271
37,1679
38,1561
39,6803
40,1679
41,889
42,6224
43,2220
44,2989
45,7482
46,4770
47,1679
48,2056
49,2203
50,1679
51,1679
52,1420
53,3085
54,1679
55,3231
56,1679
57,6455
58,872
59,2998
60,1679
61,1679
62,1679
63,3271
64,1679
65,5898
66,3812
67,1679
68,2962
69,1509
70,1679
71,2486
72,3086
73,6898
74,3342
75,1633
76,6082
77,1679
78,1225
79,1876
80,3529
81,1679
82,735
83,1679
84,5451
85,1679
86,1679
87,1679
88,1679
89,2009
90,4157
91,9956
92,1679
93,1679
94,1679
95,4654
96,1769
97,9353
98,1679
99,3049
100,2012
101,1679
102,1679
103,4921
104,4105
105,5014
106,301
107,1679
108,1679
109,7505
110,1679
111,1539
112,1679
113,5588
114,1679
115,1679
116,1679
117,3628
118,8429
119,2712
120,1679
121,1332
122,1679
123,1679
124,923
125,6082
126,1679
127,1679
128,3912
129,851
130,1679
131,5160
132,1679
133,503
134,1679
135,1697
136,1679
137,1679
138,1450
139,9936
140,5424
141,4027
142,550
143,1679
144,1679
145,1679
146,9117
147,2358
148,8523
149,4563
150,5607
151,1679
152,2743
153,771
154,1248
155,805
156,6849
157,3073
158,1679
159,5926
160,5396
161,1679
162,1679
163,6218
164,1679
165,1679
166,1679
167,1637
168,1679
169,1679
170,1679
171,1679
172,2167
173,2700
174,1679
175,1679
176,1956
177,8862
178,6723
179,9606
180,1679
181,3915
182,1679
183,1679
184,7836
185,3165
186,1679
187,1679
188,7936
189,6691
190,3400
191,1679
192,1679
193,8478
194,5517
195,488
196,178
197,5527
198,9981
199,4110
200,1143
201,6711
202,1679
203,1679
204,7553
205,3768
206,1679
207,1679
208,3831
209,1679
210,1613
211,5713
212,1679
213,8019
214,6428
215,3602
216,1679
217,1679
218,1679
219,1117
220,1679
221,4211
222,1679
223,3271
224,2081
225,5246
226,1679
227,1679
228,1679
229,1679
230,2970
231,1679
232,827
233,8321
234,1679
235,985
236,1518
237,1679
238,1679
239,1679
240,3271
241,7272
242,1679
243,2439
244,1679
245,1679
246,9224
247,1679
248,1679
249,7743
250,5807
251,492
252,1679
253,1679
254,2341
255,1679
256,1679
257,5859
258,1679
259,1679
260,1679
261,1679
262,1679
263,1679
264,1679
265,591
266,1679
267,1679
268,73
269,1679
270,1679
271,6183
272,1679
273,9684
274,776
275,9206
276,1139
277,1679
278,2387
279,1679
280,1679
281,8089
282,7009
283,1679
284,1679
285,1614
286,1679
287,584
288,4099
289,1679
290,933
291,1679
292,1679
293,2837
294,4480
295,7007
296,1679
297,1679
298,1679
299,1679
300,1679
301,1679
302,8906
303,1679
304,1679
305,3649
306,335
307,1679
308,1679
309,2909
310,9354
311,6006
312,1679
313,1679
314,1679
315,1291
316,1679
317,1236
318,1679
319,1679
320,686
321,8092
322,1679
323,8955
324,3701
325,9064
326,1679
327,796
328,9202
329,3014
330,9798
331,1679
332,1679
333,8134
334,7894
335,3251
336,4289
337,112
338,4919
339,9073
340,1679
341,1679
342,9132
343,1679
344,1248
345,1679
346,1679
347,1679
348,5024
349,7775
350,986
351,1679
352,5965
353,1679
354,1679
355,1679
356,1679
357,5227
358,1679
359,5406
360,4770
361,1239
362,1679
363,1679
364,1679
365,1679
366,1679
367,1679
368,9312
369,827
370,1679
371,1679
372,1679
373,5258
374,9038
375,8176
376,1679
377,1679
378,1679
379,1679
380,1679
381,896
382,1679
383,1679
384,60
385,2106
386,1679
387,9694
388,7272
389,7036
390,1669
391,195
392,1679
393,1679
394,1679
395,1679
396,1679
397,1679
398,8077
399,9547
400,1679
401,5205
402,2873
403,1679
404,8877
405,1679
406,950
407,1679
408,851
409,1628
410,1679
411,1679
412,1516
413,7858
414,1679
415,9117
416,1117
417,1679
418,6301
419,2593
420,1961
421,2623
422,1679
423,3377
424,7254
425,1679
426,1679
427,4998
428,1679
429,1679
430,1603
431,1679
432,1679
433,4131
434,7261
435,1679
436,1679
437,1679
438,2586
439,1679
440,8666
441,1679
442,5033
443,5364
444,1679
445,455
446,1679
447,6372
448,1679
449,9914
450,941
451,1679
452,1679
453,1679
454,4698
455,2224
456,1679
457,1679
458,3759
459,8886
460,1679
461,1679
462,5461
463,6882
464,9798
465,1679
466,3903
467,4974
468,2546
469,1679
470,1191
471,1679
472,1679
473,8865
474,1679
475,7995
476,1679
477,1679
478,1679
479,1679
480,5586
481,2188
482,3685
483,8617
484,1679
485,1758
486,7368
487,8996
488,1679
489,6043
490,1526
491,7097
492,9936
493,8312
494,1679
495,6546
496,6967
497,1679
498,1679
499,1679
500,3278
501,1679
502,1679
503,1679
504,6070
505,1679
506,1679
507,1679
508,814
509,6641
510,1679
511,8460
512,1679
513,3754
514,1679
515,1679
516,4656
517,1679
518,8834
519,9645
520,1679
521,7493
522,3271
523,1679
524,5014
525,1679
526,5597
527,7142
528,5823
529,1679
530,3792
531,1175
532,547
533,1679
534,1679
535,1679
536,9194
537,1679
538,4858
539,3484
540,1518
541,1679
542,1679
543,1679
544,1679
545,1679
546,1679
547,1679
548,1679
549,7499
550,7163
551,6158
552,8104
553,1469
554,1679
555,1679
556,1679
557,1679
558,1679
559,1679
560,9117
561,1679
562,1679
563,1679
564,1303
565,1679
566,1679
567,1679
568,3487
569,6110
570,4185
571,4565
572,563
573,8179
574,5662
575,6492
576,1679
577,2927
578,1679
579,454
580,1679
581,1679
582,1951
583,1679
584,1679
585,2777
586,1679
587,1899
588,1679
589,1679
590,1679
591,574
592,4090
593,837
594,9383
595,1679
596,1332
597,463
598,422
599,1679
600,1679
601,1679
602,202
603,8597
604,1731
605,5859
606,1679
607,136
608,4309
609,1679
610,1679
611,9023
612,1679
613,3253
614,677
615,3061
616,1679
617,5256
618,1679
619,7362
620,3817
621,1416
622,1679
623,1679
624,2686
625,1332
626,1679
627,1679
628,9521
629,1679
630,3018
631,2419
632,1679
633,1679
634,82
635,9267
636,492
637,5360
638,3944
639,1679
640,1679
641,8980
642,1679
643,8152
644,1679
645,3410
646,1192
647,1679
648,1679
649,4562
650,1679
651,315
652,1679
653,1463
654,834
655,1679
656,2261
657,3215
658,1679
659,933
660,1679
661,60
662,2316
663,1679
664,1679
665,4010
666,1679
667,5349
668,2973
669,8101
670,7226
671,4811
672,1679
673,1679
674,120
675,1679
676,1690
677,2035
678,9745
679,1679
680,796
681,1163
682,1679
683,1679
684,1679
685,1679
686,412
687,5723
688,9936
689,358
690,5654
691,1236
692,1952
693,1561
694,1679
695,762
696,8689
697,1661
698,987
699,1679
700,1679
701,1726
702,6858
703,9507
704,1679
705,1679
706,1679
707,1679
708,1679
709,3780
710,1679
711,2106
712,1679
713,1679
714,1679
715,1679
716,2150
717,2297
718,1679
719,712
720,1679
721,1679
722,1679
723,7664
724,9462
725,1679
726,2987
727,5258
728,1679
729,1679
730,1679
731,6183
732,1679
733,1679
734,8009
735,3801
736,2110
737,454
738,358
739,1679
740,1679
741,1679
742,8055
743,1679
744,1679
745,1679
746,2975
747,1679
748,4069
749,8213
750,56
751,1679
752,4290
753,1679
