Id,Predicted
1,1516
2,6596
3,6492
4,7482
5,8297
6,6650
7,9437
8,1650
9,476
10,5523
11,8739
12,1624
13,1071
14,1168
15,5565
16,3574
17,1896
18,9974
19,549
20,1113
21,9148
22,25
23,7647
24,8704
25,821
26,4106
27,4185
28,8739
29,4966
30,2491
31,6898
32,7935
33,3152
34,1463
35,5076
36,151
37,3097
38,1561
39,9218
40,3989
41,6652
42,3833
43,7795
44,2989
45,6156
46,3574
47,1281
48,4106
49,5012
50,8329
51,4106
52,1420
53,3085
54,3729
55,9051
56,5801
57,6455
58,8744
59,7693
60,8872
61,9135
62,6024
63,9051
64,7907
65,5968
66,4575
67,3658
68,9831
69,1509
70,2136
71,1590
72,6102
73,6898
74,6566
75,3607
76,7487
77,1966
78,8130
79,9188
80,8528
81,4925
82,7051
83,6354
84,4267
85,2460
86,1760
87,8930
88,3025
89,9629
90,4185
91,9956
92,4562
93,7036
94,4974
95,6330
96,1769
97,9353
98,1644
99,3220
100,6958
101,1785
102,7362
103,4267
104,5098
105,4974
106,1113
107,450
108,5396
109,7505
110,2481
111,1935
112,6732
113,5588
114,4267
115,1350
116,4769
117,8872
118,8429
119,9543
120,7036
121,687
122,319
123,8704
124,9953
125,4612
126,6703
127,5857
128,3912
129,6455
130,4841
131,5160
132,5519
133,3128
134,5004
135,5523
136,319
137,6841
138,4795
139,3574
140,8654
141,4027
142,5181
143,6898
144,256
145,4961
146,2203
147,4185
148,1781
149,7935
150,5904
151,7125
152,790
153,3729
154,921
155,4185
156,3450
157,3073
158,7482
159,4335
160,4185
161,5524
162,9065
163,934
164,9398
165,7368
166,8134
167,3128
168,4267
169,4974
170,4841
171,5968
172,2490
173,1524
174,9148
175,7907
176,3989
177,9398
178,4267
179,5424
180,6135
181,4185
182,83
183,9301
184,9592
185,8897
186,325
187,1507
188,5238
189,4267
190,4267
191,5140
192,6180
193,6096
194,5238
195,2876
196,6024
197,7125
198,7448
199,1416
200,6566
201,8130
202,8839
203,4539
204,6648
205,3768
206,8363
207,4841
208,3956
209,3936
210,7607
211,1510
212,7952
213,8019
214,6898
215,8064
216,933
217,6306
218,4185
219,4335
220,5149
221,1628
222,177
223,1590
224,1698
225,5246
226,4974
227,9911
228,5993
229,5098
230,4185
231,7607
232,4106
233,7487
234,3023
235,2717
236,1628
237,9243
238,1113
239,2164
240,1590
241,3743
242,4027
243,4025
244,3729
245,115
246,4267
247,6492
248,3007
249,7743
250,8326
251,4485
252,6455
253,4027
254,2341
255,9527
256,699
257,2594
258,7952
259,4667
260,5238
261,3729
262,933
263,9543
264,3729
265,1052
266,1665
267,4185
268,6354
269,5517
270,5519
271,6183
272,3727
273,4429
274,7181
275,4966
276,1523
277,1698
278,5807
279,6703
280,3082
281,9629
282,6285
283,2839
284,2844
285,9950
286,4562
287,9248
288,4185
289,3234
290,933
291,1184
292,2989
293,4232
294,8230
295,6455
296,4841
297,6156
298,9421
299,5130
300,6650
301,7639
302,5523
303,4185
304,4612
305,7957
306,7036
307,7607
308,6301
309,6024
310,2857
311,6006
312,9605
313,2000
314,9577
315,1291
316,8529
317,4185
318,5588
319,6073
320,3854
321,4232
322,821
323,8802
324,5807
325,3342
326,5046
327,5891
328,6073
329,503
330,4427
331,4841
332,8878
333,7254
334,7894
335,7796
336,7996
337,7036
338,4185
339,4974
340,8494
341,2986
342,5238
343,7959
344,9424
345,9778
346,3192
347,7368
348,8802
349,7775
350,3023
351,2876
352,1382
353,8255
354,4948
355,883
356,1510
357,2868
358,6354
359,325
360,4769
361,3377
362,3097
363,3729
364,8363
365,5517
366,1112
367,2000
368,7482
369,4185
370,6428
371,5588
372,4621
373,5258
374,6455
375,8176
376,3729
377,9914
378,6636
379,3933
380,4612
381,5412
382,8976
383,1353
384,2460
385,9592
386,1350
387,3995
388,5968
389,7036
390,4185
391,1868
392,4974
393,5809
394,9778
395,6700
396,7935
397,9259
398,8077
399,7036
400,8041
401,5205
402,2873
403,9607
404,3833
405,5519
406,3082
407,9889
408,1868
409,1628
410,9398
411,7362
412,1516
413,2038
414,2463
415,2203
416,4267
417,4267
418,7650
419,5904
420,4232
421,325
422,6111
423,4795
424,7254
425,3574
426,5778
427,9198
428,5807
429,1698
430,4562
431,3171
432,5968
433,1063
434,7720
435,3951
436,4267
437,5747
438,3989
439,8931
440,8666
441,4267
442,7514
443,5524
444,1197
445,169
446,6073
447,6372
448,6455
449,9914
450,9048
451,3439
452,5046
453,6762
454,1382
455,8363
456,8041
457,7362
458,8654
459,3128
460,5140
461,7647
462,7368
463,820
464,4427
465,5968
466,3013
467,1113
468,2306
469,5517
470,5004
471,3849
472,1064
473,8865
474,7482
475,7995
476,9472
477,4974
478,4185
479,8134
480,8872
481,2188
482,7935
483,4612
484,1614
485,883
486,325
487,2760
488,933
489,9778
490,1450
491,3658
492,9048
493,8946
494,3634
495,7887
496,4562
497,1450
498,7482
499,6156
500,4795
501,5953
502,7831
503,6898
504,5140
505,2511
506,6330
507,5316
508,9935
509,8599
510,4974
511,4267
512,7996
513,2264
514,7362
515,1510
516,2296
517,139
518,6928
519,6455
520,6898
521,4267
522,7362
523,2802
524,8049
525,8654
526,8230
527,1523
528,4267
529,9778
530,5523
531,6883
532,8640
533,6455
534,8654
535,9136
536,4365
537,1509
538,4858
539,5050
540,3472
541,6024
542,2868
543,8872
544,3779
545,9745
546,1698
547,3439
548,4758
549,5951
550,3601
551,2164
552,8104
